"","coefficients.Estimate","coefficients.Std..Error","coefficients.t.value","coefficients.Pr...t..","2.5 %","97.5 %",""
"(Intercept)",20.342,1.634,12.446,0,17.106,23.583,NA
"nicotine",1.605,2.299,0.698,0.487,-2.952,6.161,0.004
"sex",0.172,1.847,0.093,0.926,-3.487,3.831,0
"cannabis",-0.49,2.157,-0.227,0.821,-4.764,3.783,0
"anxiety",3.138,2.074,1.513,0.133,-0.972,7.248,0.02
"OCD",-3.915,2.946,-1.329,0.187,-9.753,1.922,0.016
"PTSD",-6.411,2.717,-2.36,0.02,-11.794,-1.028,0.048
"MDD",1.237,2.224,0.556,0.579,-3.17,5.645,0.003
"dayTime_shift_cent",-1.074,0.832,-1.291,0.199,-2.76,0.583,0.015
