"","coefficients.Estimate","coefficients.Std..Error","coefficients.t.value","coefficients.Pr...t..","2.5 %","97.5 %",""
"(Intercept)",0.572,0.037,15.554,0,0.499,0.644,NA
"nicotine",-0.013,0.052,-0.261,0.795,-0.116,0.089,-0.001
"sex",-0.052,0.041,-1.263,0.209,-0.134,0.03,0.014
"cannabis",-0.05,0.048,-1.027,0.307,-0.146,0.046,0.009
"anxiety",0.014,0.047,0.29,0.772,-0.079,0.106,0.001
"OCD",-0.002,0.066,-0.027,0.978,-0.133,0.129,0
"PTSD",-0.051,0.061,-0.831,0.408,-0.171,0.07,0.006
"MDD",-0.01,0.05,-0.204,0.839,-0.109,0.088,0
"dayTime_shift_cent",-0.002,0.019,-0.102,0.919,-0.039,0.035,0
