"","coefficients.Estimate","coefficients.Std..Error","coefficients.t.value","coefficients.Pr...t..","2.5 %","97.5 %",""
"(Intercept)",21.99,2.117,10.39,0,17.794,26.182,NA
"nicotine",-2.171,2.978,-0.729,0.467,-8.071,3.729,0.005
"sex",0.539,2.391,0.225,0.822,-4.2,5.277,0
"cannabis",-0.322,2.793,-0.115,0.908,-5.856,5.212,0
"anxiety",-0.473,2.686,-0.176,0.86,-5.796,4.849,0
"OCD",-6.104,3.815,-1.6,0.112,-13.664,1.456,0.023
"PTSD",0.117,3.518,0.033,0.973,-6.854,7.088,0
"MDD",2.703,2.881,0.938,0.35,-3.005,8.411,0.008
"dayTime_shift_cent",0.901,1.077,0.837,0.405,-1.25,3.078,0.006
