"","stimulus","memorability","scaled_memory_hits","X","score_emotional","sd_emotional","score_humanmade","sd_humanmade","score_outdoors","sd_outdoors","score_shoebox","sd_shoebox","humanmade_pass","outdoors_pass","shoebox_pass","humanmade_response","outdoors_response","shoebox_response","scaled_emotional","h_index","modal_response","proportion_response","unique","scaled_name","scaled_discrim_outdoors","scaled_discrim_shoebox"
"1","Abacus.jpg",-0.0178788299533504,0.402404121350887,1187,-0.0474720695864595,0.408625512307567,1,0,0,0,0.333333333333333,0.516397779494322,1,1,0,"human-made","indoors",NA,0.534591194968553,2.60397572661071,"game",0.294117647058824,0,0.611206403659234,0.755580995993131,0.185460789925587
"2","Accordion.jpg",0.0617275328459128,0.712077847738981,1331,-0.503754381572356,0.305967435174226,1,0,0,0,0.166666666666667,0.408248290463863,1,1,1,"human-made","indoors","larger than a shoebox",0.176100628930818,2.38038494061158,"accordion",0.371428571428571,1,0.521440823327616,0.755580995993131,0.379507727532914
"3","Acorn.jpg",0.0199849901310779,0.559244419004007,1188,-0.35391710785265,0.578775802816838,0.111111111111111,0.333333333333333,0.857142857142857,0.377964473009227,1,0,1,1,1,"natural","outdoors","smaller than a shoebox",0.299599771297885,1.19299935660606,"acorn",0.769230769230769,0,0.134934248141795,0.493989696622782,0.66914710933028
"4","AirCompressor.jpg",-0.129445664812962,0.10475100171723,621,-0.177690260265152,0.728541563424798,1,0,0.666666666666667,0.5,0.142857142857143,0.377964473009227,1,0,1,"human-made",NA,"larger than a shoebox",0.443682104059463,2.7527152789797,"generator",0.333333333333333,0,0.669525443110349,0.196908986834574,0.419576416714367
"5","Airplane_Fighter.jpg",-0.165023108960002,0.0606754436176302,1479,0.37988301069331,0.922176228111688,1,0,1,0,0.142857142857143,0.377964473009227,1,1,1,"human-made","outdoors","larger than a shoebox",0.791881074899943,2.96938941952916,"airplane",0.277777777777778,0,0.755860491709548,0.755580995993131,0.419576416714367
"6","Airplane_Small.jpg",-0.172355949636056,0.0520892959358901,1332,-0.106758621254776,1.10918385198138,1,0,1,0,0,0,1,1,1,"human-made","outdoors","larger than a shoebox",0.50485991995426,1.50325833477565,"plane",0.444444444444444,1,0.217838765008576,0.755580995993131,0.66914710933028
"7","AirPump.jpg",-0.254130422519007,0.0143102461362335,1480,0.252383769677168,0.664800926419432,1,0,0.714285714285714,0.487950036474267,0.444444444444444,0.52704627669473,1,0,0,"human-made",NA,NA,0.727844482561464,2.52262030953102,"air pump",0.388888888888889,1,0.576329331046312,0.247281053234116,0.0354894104178592
"8","AirTank.jpg",0.0404126517806635,0.640526617057813,1046,-0.156304771268091,0.903318892858108,1,0,0.285714285714286,0.487950036474267,0.25,0.462910049886276,1,0,0,"human-made",NA,NA,0.460263007432819,4.26393342948563,"air tank",0.117647058823529,1,0.997141223556318,0.270177447052089,0.275329135661133
"9","AirVent.jpg",0.032479331425314,0.60847166571265,351,-0.951346822043704,0.450673273761759,1,0,0.142857142857143,0.377964473009227,0.5,0.534522483824849,1,1,0,"human-made","indoors",NA,0.00571755288736421,2.50325833477565,"vent",0.444444444444444,1,0.571183533447684,0.493989696622782,0
"10","AlarmSystem.jpg",-0.0758584333564308,0.212936462507155,752,-0.654193201392629,0.335809990977095,1,0,0.166666666666667,0.408248290463863,0.75,0.462910049886276,1,1,0,"human-made","indoors",NA,0.0754716981132075,3.22109725005796,"thermostat",0.315789473684211,0,0.825042881646655,0.449341728677733,0.275329135661133
"11","AlcoholBar.jpg",-0.0407682066668227,0.320549513451631,1189,-0.568002907949994,0.480617616054999,1,0,0.142857142857143,0.377964473009227,0.142857142857143,0.377964473009227,1,1,1,"human-made","indoors","larger than a shoebox",0.127501429388222,2.96706475397547,"bar",0.388888888888889,1,0.751858204688393,0.493989696622782,0.419576416714367
"12","Alfalfa.jpg",0.222512775074756,0.998855180309101,1481,-0.476150698752512,0.784533114420368,0.111111111111111,0.333333333333333,0.5,0.534522483824849,0.75,0.462910049886276,1,0,0,"natural",NA,NA,0.200114351057747,3.12238213792289,"sprouts",0.411764705882353,1,0.797026872498571,0,0.275329135661133
"13","AllTerrain.jpg",-0.160808070250804,0.0658271322266743,352,0.612866381908355,1.03619050163438,1,0,0.875,0.353553390593274,0,0,1,1,1,"human-made","outdoors","larger than a shoebox",0.860491709548313,3.3502090290999,"atv",0.222222222222222,0,0.856489422527158,0.602747567258157,0.66914710933028
"14","Almond.jpg",0.0708902906416965,0.746422438465942,1333,-0.0646918774386857,1.26784861678291,0.222222222222222,0.440958551844098,0.166666666666667,0.408248290463863,0.857142857142857,0.377964473009227,0,1,1,NA,"indoors","smaller than a shoebox",0.526586620926244,1.52882891829394,"almond",0.617647058823529,1,0.222984562607204,0.449341728677733,0.419576416714367
"15","Altar.jpg",-0.0722989954341985,0.224957069261591,1482,-0.225871726001736,0.955830799676907,1,0,0,0,0.142857142857143,0.377964473009227,1,1,1,"human-made","indoors","larger than a shoebox",0.400228702115495,2.93299930663729,"tables",0.333333333333333,0,0.737564322469983,0.755580995993131,0.419576416714367
"16","AmberWithMosquito.jpg",0.13933084744552,0.931310818546079,901,0.957429309341313,1.02754570971783,0.111111111111111,0.333333333333333,0.777777777777778,0.440958551844098,1,0,1,0,1,"natural",NA,"smaller than a shoebox",0.932532875929102,3.57246945877014,"amber",0.176470588235294,1,0.920526014865637,0.393817973669147,0.66914710933028
